SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
6;3-Week;SVR-MLP;6;25967791,33;5095,86;804,2;13,48;5,4;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-06, 'kernel': 'rbf'};999,0;13,48;999,0;999,0;999,0;999,0;999,0
6;3-Week;SVR;1;23027246,73;4798,67;848,3;12,19;0,3;{'C': 1255555, 'epsilon': 0,0001, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;12,19;999,0;999,0;999,0;999,0
6;3-Week;SVR;2;23252410,12;4822,08;845,72;12,22;0,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;12,22;999,0;999,0;999,0;999,0
6;3-Week;SVR;3;23051803,48;4801,23;870,91;12,19;0,3;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;12,19;999,0;999,0;999,0;999,0
6;3-Week;SVR;4;23342849,72;4831,44;899,99;12,41;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;12,41;999,0;999,0;999,0;999,0
6;3-Week;SVR;5;23820441,26;4880,62;870,93;12,62;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-08, 'kernel': 'rbf'};999,0;999,0;12,62;999,0;999,0;999,0;999,0
6;3-Week;SVR;6;25894262,36;5088,64;1347,41;13,91;0,2;{'C': 12550, 'epsilon': 0,1, 'gamma': 1e-06, 'kernel': 'rbf'};999,0;999,0;13,91;999,0;999,0;999,0;999,0
7;3-Week;ARIMA1;1;297532382,5;17249,13;12261,74;16,93;0,9;ARIMA(1,0,2)(0,0,0);999,0;999,0;999,0;999,0;16,93;999,0;999,0
7;3-Week;ARIMA1;2;101557737,0;10077,59;5839,96;6,84;0,2;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;6,84;999,0;999,0
7;3-Week;ARIMA1;3;99399382,74;9969,92;5853,25;6,87;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;6,87;999,0;999,0
7;3-Week;ARIMA1;4;97994132,75;9899,2;5738,41;6,76;0,3;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;6,76;999,0;999,0
7;3-Week;ARIMA1;5;97862259,83;9892,54;5730,86;6,75;0,4;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;6,75;999,0;999,0
7;3-Week;ARIMA1;6;97330833,99;9865,64;5754,4;6,79;0,4;ARIMA(0,0,0)(0,0,0);999,0;999,0;999,0;999,0;6,79;999,0;999,0
7;3-Week;ARIMA2;1;14336622317,0;119735,64;117925,72;390,19;0,2;ARIMA(0,1,0)(0,0,0);999,0;999,0;999,0;999,0;999,0;390,19;999,0
7;3-Week;LSTM;1;111248009,24;10547,42;4334,29;13,6;9,5; LSTM(100,96,90);999,0;999,0;999,0;13,6;999,0;999,0;999,0
7;3-Week;LSTM;2;99393165,98;9969,61;3959,73;12,69;9,6; LSTM(100,96,90);999,0;999,0;999,0;12,69;999,0;999,0;999,0
7;3-Week;LSTM;3;99061564,34;9952,97;3574,07;12,43;9,3; LSTM(100,96,90);999,0;999,0;999,0;12,43;999,0;999,0;999,0
7;3-Week;LSTM;4;109722078,72;10474,83;4039,51;13,21;9,2; LSTM(100,96,90);999,0;999,0;999,0;13,21;999,0;999,0;999,0
7;3-Week;LSTM;5;128224211,58;11323,61;4504,08;14,48;9,7; LSTM(100,96,90);999,0;999,0;999,0;14,48;999,0;999,0;999,0
7;3-Week;LSTM;6;133501609,92;11554,29;3575,3;14,6;10,0; LSTM(100,96,90);999,0;999,0;999,0;14,6;999,0;999,0;999,0
