SK_PONTO;Best_Params;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;model;freq
13;ARIMA(1,1,1)(0,0,0);3;26750735707;163556,5214;140808,3565;37,25477547;0,958;ARIMA1;3-Week
13;ARIMA(0,1,0)(0,0,0);4;1,49086E+11;386116,9828;339310,6928;519,5900348;0,473;ARIMA1;3-Week
13;ARIMA(0,1,0)(0,0,0);5;1,52548E+11;390573,9826;343758,9767;561,9605059;0,614;ARIMA1;3-Week
13;ARIMA(0,1,1)(0,0,0);6;13567068014;116477,7576;88486,33597;26,32886595;1,132;ARIMA1;3-Week
1;ARIMA(5,1,0)(0,0,0);1;4228,18944868104;65,024529592155;46,9531820518765;7,09953317693917;40,91;ARIMA2;2-Day
1;ARIMA(2,1,0)(0,0,0);2;9571,74778764042;97,8353095136946;81,0585887717883;11,4679508187603;64,269;ARIMA2;2-Day
1;ARIMA(2,1,0)(0,0,0);3;15489,5152101819;124,45688092742;106,706771076976;14,3051583247981;59,501;ARIMA2;2-Day
1;ARIMA(3,1,0)(0,0,0);4;3972,48967361272;63,0276897372315;43,6077448497995;6,64333849926694;146,576;ARIMA2;2-Day
1;ARIMA(4,1,0)(0,0,0);5;3959,875621533;62,9275426306558;44,8892353774672;6,8400108979402;197,367;ARIMA2;2-Day
1;ARIMA(1,1,0)(0,0,0);6;7565,05320649888;86,9773143210279;65,0499621152734;9,47960112373976;70,412;ARIMA2;2-Day
4;ARIMA(0,1,1)(0,0,0);1;7611,48888765978;87,2438472768125;65,3506278710874;11,8527840980989;30,359;ARIMA2;2-Day
4;ARIMA(5,1,0)(0,0,0);2;146358,992856741;382,568938698296;317,99537226016;32,3181635409027;89,972;ARIMA2;2-Day
4;ARIMA(0,1,1)(0,0,0);3;15318,4385515309;123,767679753362;96,7190092626112;17,064224348892;61,628;ARIMA2;2-Day
4;ARIMA(0,1,0)(0,0,0);4;26390,442188488;162,45135329842;127,810543213196;24,4576278198001;24,016;ARIMA2;2-Day
4;ARIMA(0,1,0)(0,0,0);5;29172,6719825001;170,80009362556;133,714652774661;33,36090115956;27,661;ARIMA2;2-Day
4;ARIMA(0,1,0)(0,0,0);6;32580,7211843998;180,501305215225;139,995115680888;30,706256862162;41,972;ARIMA2;2-Day
5;ARIMA(0,1,2)(0,0,0);1;35311,0600752896;187,912373395925;148,583571698221;20,8740283089393;45,029;ARIMA2;2-Day
5;ARIMA(3,1,0)(0,0,0);2;64367,2717008168;253,707058831277;195,510496808167;34,3397147815209;105,227;ARIMA2;2-Day
5;ARIMA(5,1,0)(0,0,0);3;90542,6552113155;300,90306613811;226,630584197627;46,2655960758448;76,967;ARIMA2;2-Day
5;ARIMA(0,1,0)(0,0,0);4;69296,1703372439;263,241657678347;201,484910429551;39,027668057022;19,081;ARIMA2;2-Day
5;ARIMA(0,1,0)(0,0,0);5;93542,7591453172;305,847607715537;230,598516713868;47,5785875092299;24,063;ARIMA2;2-Day
5;ARIMA(0,1,0)(0,0,0);6;130621,523888065;361,415998384224;269,572393807582;70,5347294976524;26,414;ARIMA2;2-Day
6;ARIMA(0,1,4)(0,0,0);1;17365,1448328046;131,776875182274;124,351128631797;52,468296076342;101,977;ARIMA2;2-Day
6;ARIMA(0,1,0)(0,0,0);2;21015,5243371942;144,967321618336;136,907670895148;54,1399166068371;14,986;ARIMA2;2-Day
6;ARIMA(0,1,0)(0,0,0);3;22192,4183610584;148,971199770487;140,470902493958;56,4448135601712;19,088;ARIMA2;2-Day
6;ARIMA(3,1,0)(0,0,0);4;31905,4591918111;178,620993144174;165,729251449643;92,3874325051006;87,013;ARIMA2;2-Day
6;ARIMA(1,1,0)(0,0,0);5;28502,598473522;168,827126000302;157,530393419905;75,6945225939313;73,31;ARIMA2;2-Day
