SK_PONTO;freq;model;N_Past_Vl;MSE;RMSE;MAE;MAPE;Duration;Best_Params;SVR-LSTM;SVR-MLP;SVR;LSTM;ARIMA1;ARIMA2;MLP
1;2-Day;LSTM;4;7623864,32;2761,13;587,91;28,21;6,7; LSTM(100,96,90);999,0;999,0;999,0;28,21;999,0;999,0;999,0
1;2-Day;LSTM;5;8041023,1;2835,67;731,63;25,36;6,8; LSTM(100,96,90);999,0;999,0;999,0;25,36;999,0;999,0;999,0
1;2-Day;LSTM;6;7071539,2;2659,24;738,67;29,04;7,2; LSTM(100,96,90);999,0;999,0;999,0;29,04;999,0;999,0;999,0
1;2-Day;MLP;1;4881029,32;2209,31;678,91;18,79;26,0;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;18,79
1;2-Day;MLP;2;5347667,73;2312,5;692,9;22,84;18,4;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;22,84
1;2-Day;MLP;3;5806332,9;2409,63;675,3;25,85;18,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;25,85
1;2-Day;MLP;4;5272363,73;2296,16;716,2;24,27;22,3;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;24,27
1;2-Day;MLP;5;5336653,17;2310,12;729,58;24,71;20,5;{'activation': 'identity', 'alpha': 0,0001, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;24,71
1;2-Day;MLP;6;7130112,72;2670,23;776,29;30,95;19,4;{'activation': 'identity', 'alpha': 0,01, 'hidden_layer_sizes': (2, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;999,0;999,0;999,0;999,0;999,0;30,95
1;2-Day;SVR-LSTM;1;5291315,18;2300,29;656,83;29,07;21,3;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);29,07;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-LSTM;2;5734321,53;2394,64;721,06;31,01;15,3;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);31,01;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-LSTM;3;6480934,95;2545,77;547,34;32,91;17,7;SVR-LSTM{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);32,91;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-LSTM;4;6970119,17;2640,1;540,06;33,84;14,3;SVR-LSTM{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);33,84;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-LSTM;5;7743565,28;2782,73;584,7;35,91;15,1;SVR-LSTM{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);35,91;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-LSTM;6;6261688,28;2502,34;787,09;32,84;15,7;SVR-LSTM{'C': 12550, 'epsilon': 0.001, 'gamma': 1e-08, 'kernel': 'rbf'}-LSTM(100,96,90);32,84;999,0;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-MLP;1;5282729,39;2298,42;667,46;29,04;15,5;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;29,04;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-MLP;2;5728784,94;2393,49;728,03;31,01;18,4;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;31,01;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-MLP;3;6203756,33;2490,73;612,05;32,33;23,5;SVR-MLP{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;32,33;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-MLP;4;6678206,92;2584,22;663,04;33,32;16,3;SVR-MLP{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;33,32;999,0;999,0;999,0;999,0;999,0
1;2-Day;SVR-MLP;5;6083191,91;2466,41;927,1;25,03;21,1;SVR-MLP{'C': 12550, 'epsilon': 0.1, 'gamma': 1e-08, 'kernel': 'rbf'}-{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (4, 6, 1), 'max_iter': 500, 'solver': 'adam'};999,0;25,03;999,0;999,0;999,0;999,0;999,0
